0,1,2,3,4,5,6,7,8,9
[5178.77821933 5790.14196907],[  89.59911587 4749.28163264],[7991.99236297 7787.854906  ],[1333.14912186 7909.36406765],[1345.46741838 7813.97680607],[  39.98299032 7030.73784935],[ 116.14781824 3678.15464312],[3679.86785148 7966.93602957],[4336.37536434 5339.91252669],[6679.41067471 7976.58498036]
[5364.28552217 5849.33788945],[ 193.92447393 4902.3410519 ],[7821.34349841 7789.64995313],[1307.84507068 7785.63246584],[1232.22976542 7777.13062303],[  25.16590405 6901.17175232],[ 304.01879567 3666.81415987],[3675.31406172 7932.46138833],[4343.52769546 5349.51770995],[7124.60763957 7891.91552443]
[5473.10923249 5891.15075726],[ 291.67828652 5027.71694057],[7746.70146209 7805.56849669],[1304.60876819 7784.05842146],[1217.60860277 7770.29230149],[  68.6169003  6769.94887047],[ 497.12990945 3664.32522076],[3675.31406172 7932.46138833],[4343.52769546 5349.51770995],[7098.31163537 7744.76239356]
[5473.10923249 5891.15075726],[ 314.80868444 5114.08021977],[7746.70146209 7805.56849669],[1304.60876819 7784.05842146],[1214.79967504 7759.26324227],[  48.24812151 6635.30220559],[ 684.48244848 3648.75919194],[3681.89957565 7799.98437602],[4368.94854211 5351.99262208],[7039.38852526 7545.64921065]
[5473.10923249 5891.15075726],[ 433.10973183 5200.97729824],[7746.70146209 7805.56849669],[1304.60876819 7784.05842146],[1214.79967504 7759.26324227],[ 113.60235363 6475.25664641],[ 877.66541712 3654.56790223],[3734.19136267 7759.43362806],[4368.94854211 5351.99262208],[7014.9301934  7227.42239313]
[5473.10923249 5891.15075726],[ 558.82302809 5339.45373492],[7746.70146209 7805.56849669],[1304.60876819 7784.05842146],[1214.79967504 7759.26324227],[ 141.06160545 6289.2005111 ],[1039.60505571 3644.74880587],[3734.19136267 7759.43362806],[4368.94854211 5351.99262208],[7071.82253328 6858.25929216]
[5516.47060149 5903.42860326],[ 611.04243857 5482.09596263],[7692.61657551 7847.08531565],[1304.60876819 7784.05842146],[1223.68107227 7744.16783549],[ 135.12410667 6243.57063622],[1163.36626321 3560.2963259 ],[3738.29384677 7782.1514705 ],[4368.94854211 5351.99262208],[7128.24058267 6530.06166994]
[5653.98798624 5967.16917229],[ 710.89591592 5609.41985715],[7534.70213743 7867.66492513],[1304.60876819 7784.05842146],[1224.49507766 7738.81816516],[ 135.12410667 6243.57063622],[1286.12714637 3478.96730737],[3738.29384677 7782.1514705 ],[4368.94854211 5351.99262208],[7139.6797102  6295.10752795]
[5873.62627803 6041.82914894],[ 836.85206743 5633.33556155],[7300.61363867 7870.4906086 ],[1226.49941286 7765.58442916],[1224.49507766 7738.81816516],[ 135.12410667 6243.57063622],[1366.27436942 3517.38134714],[3738.29384677 7782.1514705 ],[4368.94854211 5351.99262208],[7135.88682091 6136.7455973 ]
[5975.70056571 6073.1512103 ],[1065.88298181 5704.73487138],[6804.6342641  7925.06431962],[1269.24955907 7596.21689655],[1224.49507766 7738.81816516],[ 142.7479111  6191.83323099],[1344.03143345 3693.8664711 ],[3738.29384677 7782.1514705 ],[4368.94854211 5351.99262208],[7126.85810949 6036.70626752]
[5975.70056571 6073.1512103 ],[1137.43401904 5656.96818407],[6674.5576164  7723.89492958],[1385.48354121 7539.85015299],[1224.49507766 7738.81816516],[ 273.28691562 6103.89209866],[1367.22877029 3914.05081965],[3738.29384677 7782.1514705 ],[4398.62332281 5302.04768872],[7074.40588782 5967.37070618]
[6011.36148131 6067.53531868],[1151.88852399 5586.68035895],[6660.2580733  7704.38547879],[1391.91943444 7365.6261725 ],[1223.35519647 7733.15049131],[ 423.61257198 6023.45703658],[1361.92845942 4136.41950424],[3738.29384677 7782.1514705 ],[4450.33245797 5252.77915955],[7096.90611292 5955.26947693]
[6129.77939438 5946.96032976],[1151.88852399 5586.68035895],[6660.2580733  7704.38547879],[1388.15488573 7332.14163108],[1222.50426836 7725.17771374],[ 517.83431134 5955.37272403],[1289.10883015 4307.433165  ],[3738.29384677 7782.1514705 ],[4502.26143152 5164.6572582 ],[7237.27271731 6026.56368523]
[6211.99373684 5810.94444066],[1151.88852399 5586.68035895],[6660.2580733  7704.38547879],[1375.88236442 7248.41652517],[1226.73300259 7711.56358983],[ 557.94345739 5934.47396432],[1260.11529472 4397.5089655 ],[3738.29384677 7782.1514705 ],[4531.34587253 5191.80042356],[7277.70720399 5969.41109698]
[6188.18905825 5773.04800634],[1260.52302714 5502.46134265],[6611.4981835  7656.18957728],[1375.88236442 7248.41652517],[1231.93641732 7694.85218308],[ 557.94345739 5934.47396432],[1246.99893448 4498.99036132],[3738.29384677 7782.1514705 ],[4506.89750193 5263.21821985],[7280.64169161 5966.63933681]
[6188.18905825 5773.04800634],[1340.62391567 5512.72797921],[6399.73582899 7395.10632605],[1387.82084093 7233.39602938],[1232.0134957  7693.89453906],[ 557.94345739 5934.47396432],[1232.81627826 4577.98569933],[3738.29384677 7782.1514705 ],[4520.55828693 5321.04616005],[7280.64169161 5966.63933681]
[6188.18905825 5773.04800634],[1411.86837996 5590.10093296],[6294.8177485  7231.06094534],[1374.83807434 7058.8421831 ],[1232.0134957  7693.89453906],[ 557.94345739 5934.47396432],[1209.72524938 4640.30966716],[3738.29384677 7782.1514705 ],[4554.04036291 5407.12730046],[7280.64169161 5966.63933681]
[6177.0335581  5782.71477932],[1544.84396284 5649.03395173],[6457.68931806 7067.70479467],[1368.80383279 6867.9094836 ],[1232.17405699 7688.64302235],[ 557.94345739 5934.47396432],[1206.13295759 4645.06755351],[3738.29384677 7782.1514705 ],[4518.45434483 5450.1636079 ],[7280.64169161 5966.63933681]
